seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest
chr18	499568	500321	754	*	EZH2_ENCODE_peak_1	ENSG00000158270	316740	500722	-	inside	1154	401	NearestLocation
chr18	500528	501708	1181	*	EZH2_ENCODE_peak_2	ENSG00000158270	316740	500722	-	overlapStart	194	194	NearestLocation
chr18	903543	909864	6322	*	EZH2_ENCODE_peak_3	ENSG00000265179	902766	906667	-	overlapStart	3124	777	NearestLocation
chr18	910047	911001	955	*	EZH2_ENCODE_peak_4	ENSG00000265671	894435	907680	-	upstream	-2367	2367	NearestLocation
chr18	2846137	2847136	1000	*	EZH2_ENCODE_peak_5	ENSG00000132205	2847030	2915993	+	overlapStart	-893	106	NearestLocation
chr18	2847328	2849018	1691	*	EZH2_ENCODE_peak_6	ENSG00000132205	2847030	2915993	+	inside	298	298	NearestLocation
chr18	2906130	2906758	629	*	EZH2_ENCODE_peak_7	ENSG00000272625	2920966	2921685	+	upstream	-14836	14208	NearestLocation
chr18	2907115	2907649	535	*	EZH2_ENCODE_peak_8	ENSG00000272625	2920966	2921685	+	upstream	-13851	13317	NearestLocation
chr18	5196829	5197146	318	*	EZH2_ENCODE_peak_9	ENSG00000231824	5145285	5197503	-	inside	674	357	NearestLocation
chr18	5627868	5630552	2685	*	EZH2_ENCODE_peak_10	ENSG00000082397	5392381	5630700	-	inside	2832	148	NearestLocation
chr18	5630858	5631345	488	*	EZH2_ENCODE_peak_11	ENSG00000082397	5392381	5630700	-	upstream	-158	158	NearestLocation
chr18	5890635	5892265	1631	*	EZH2_ENCODE_peak_12	ENSG00000264449	5887487	5909122	+	inside	3148	3148	NearestLocation
chr18	5894007	5895534	1528	*	EZH2_ENCODE_peak_13	ENSG00000206432	5882072	5895955	-	inside	1948	421	NearestLocation
chr18	5895736	5897186	1451	*	EZH2_ENCODE_peak_14	ENSG00000206432	5882072	5895955	-	overlapStart	219	219	NearestLocation
chr18	6413555	6414563	1009	*	EZH2_ENCODE_peak_15	ENSG00000154655	5954706	6415237	-	inside	1682	674	NearestLocation
chr18	6414732	6415473	742	*	EZH2_ENCODE_peak_16	ENSG00000154655	5954706	6415237	-	overlapStart	505	236	NearestLocation
chr18	7116063	7118422	2360	*	EZH2_ENCODE_peak_17	ENSG00000101680	6941744	7117814	-	overlapStart	1751	608	NearestLocation
chr18	10453457	10454518	1062	*	EZH2_ENCODE_peak_18	ENSG00000154856	10454628	10489948	+	upstream	-1171	110	NearestLocation
chr18	10454821	10456416	1596	*	EZH2_ENCODE_peak_19	ENSG00000154856	10454628	10489948	+	inside	193	193	NearestLocation
chr18	11146858	11150359	3502	*	EZH2_ENCODE_peak_20	ENSG00000154864	10666483	11148762	-	overlapStart	1904	1597	NearestLocation
chr18	11688815	11690481	1667	*	EZH2_ENCODE_peak_21	ENSG00000141404	11688956	11885685	+	overlapStart	-141	141	NearestLocation
chr18	11751161	11753000	1840	*	EZH2_ENCODE_peak_22	ENSG00000267333	11745626	11747581	+	downstream	5535	3580	NearestLocation
chr18	12253055	12255052	1998	*	EZH2_ENCODE_peak_23	ENSG00000176194	12254319	12277595	+	overlapStart	-1264	733	NearestLocation
chr18	13136848	13137635	788	*	EZH2_ENCODE_peak_24	ENSG00000267656	13139780	13140489	-	downstream	3641	2145	NearestLocation
chr18	13215859	13220405	4547	*	EZH2_ENCODE_peak_25	ENSG00000267239	13203774	13216367	-	overlapStart	508	508	NearestLocation
chr18	13220674	13221065	392	*	EZH2_ENCODE_peak_26	ENSG00000168675	13217498	13652755	+	inside	3176	3176	NearestLocation
chr18	13222703	13223090	388	*	EZH2_ENCODE_peak_27	ENSG00000168675	13217498	13652755	+	inside	5205	5205	NearestLocation
chr18	13611749	13612511	763	*	EZH2_ENCODE_peak_28	ENSG00000263527	13611114	13611200	+	downstream	635	549	NearestLocation
chr18	13641135	13642577	1443	*	EZH2_ENCODE_peak_29	ENSG00000266954	13644815	13645685	-	downstream	4550	2238	NearestLocation
chr18	15197623	15198002	380	*	EZH2_ENCODE_peak_30	ENSG00000265015	15196999	15197775	-	overlapStart	152	152	NearestLocation
chr18	18821011	18821893	883	*	EZH2_ENCODE_peak_31	ENSG00000216205	21062383	21062473	-	downstream	2241462	2240490	NearestLocation
chr18	18822118	18823674	1557	*	EZH2_ENCODE_peak_32	ENSG00000216205	21062383	21062473	-	downstream	2240355	2238709	NearestLocation
chr18	18823764	18824218	455	*	EZH2_ENCODE_peak_33	ENSG00000216205	21062383	21062473	-	downstream	2238709	2238165	NearestLocation
chr18	19743795	19749308	5514	*	EZH2_ENCODE_peak_34	ENSG00000216205	21062383	21062473	-	downstream	1318678	1313075	NearestLocation
chr18	19749724	19750042	319	*	EZH2_ENCODE_peak_35	ENSG00000216205	21062383	21062473	-	downstream	1312749	1312341	NearestLocation
chr18	19750373	19750754	382	*	EZH2_ENCODE_peak_36	ENSG00000216205	21062383	21062473	-	downstream	1312100	1311629	NearestLocation
chr18	19750807	19752838	2032	*	EZH2_ENCODE_peak_37	ENSG00000216205	21062383	21062473	-	downstream	1311666	1309545	NearestLocation
chr18	19928174	19928517	344	*	EZH2_ENCODE_peak_38	ENSG00000216205	21062383	21062473	-	downstream	1134299	1133866	NearestLocation
chr18	19928654	19929153	500	*	EZH2_ENCODE_peak_39	ENSG00000216205	21062383	21062473	-	downstream	1133819	1133230	NearestLocation
chr18	20714633	20715518	886	*	EZH2_ENCODE_peak_40	ENSG00000216205	21062383	21062473	-	downstream	347840	346865	NearestLocation
chr18	20715916	20717179	1264	*	EZH2_ENCODE_peak_41	ENSG00000216205	21062383	21062473	-	downstream	346557	345204	NearestLocation
chr18	21202009	21202311	303	*	EZH2_ENCODE_peak_42	ENSG00000263748	21182503	21183499	-	upstream	-18510	18510	NearestLocation
chr18	21241585	21242575	991	*	EZH2_ENCODE_peak_43	ENSG00000141449	21242242	21525417	+	overlapStart	-657	333	NearestLocation
